title,category,address,Postal Code,latitude,longitude
A GYM,Fitness center,"11 Northshore Dr, Singapore 828670",828670,1.4150625,103.8994375
Anytime Fitness,Gym,"1 North Point Dr, #02 - 175 / 178, Singapore 768019",768019,1.4284375,103.8368125
Naksu Muay Thai Gym,Muay Thai boxing gym,"324b King George's Ave, Singapore 208566",208566,1.3099375,103.8619375
University Sports Centre (USC),Gym,"2 Sports Drive 1, National University of Singapore, Singapore 117561",117561,1.2998125,103.7753125
Gold's Gym,Personal trainer,"36 Hongkong St, #01-01, Singapore 059675",59675,1.2874375,103.8473125
F45 Training Bukit Batok Central,Gym,"2 Bukit Batok Street 23, #01-03, Connection 659554",659554,1.3439375,103.7533125
Eminent Gym,Sports club,"43 C Beach Rd, Singapore 189681",189681,1.2963125,103.8558125
Anytime Fitness,Gym,"598 Yishun Ring Rd, B1-26/27 Wisteria Mall, Singapore 768698",768698,1.4185625,103.8409375
Anytime Fitness Punggol Oasis,Gym,"681 Punggol Dr., #01-16 Oasis Terraces, Singapore 820681",820681,1.4030625,103.9131875
WeBarre,Gym,"1 Zubir Said Drive, #02-01, School of the Arts, Singapore 227968",227968,1.2994375,103.8489375
Woodlands ActiveSG Sports Centre,Sports complex,"2 Woodlands Street 12, Singapore 738599",738599,1.4340625,103.7798125
Anytime Fitness Galaxy CC,Gym,"31 Woodlands Ave 6, #05-01/02 Galaxy Community Club, Singapore 738991",738991,1.4390625,103.8026875
Anytime Fitness Sembawang,Gym,"604 Sembawang Road, #02-11/12/14, Sembawang Shopping Centre, Singapore 758459",758459,1.4420625,103.8250625
Kinetics Climbing,Rock climbing gym,"511 Serangoon Rd, Singapore 218153",218153,1.3146875,103.8573125
Yishun ActiveSG Gym,Gym,"101 Yishun Ave 1, Singapore 769130",769130,1.4121875,103.8313125
ZINGA FITNESS,Gym,"11 Bedok North Street 1, #01-14 HEARTBEAT@BEDOK, Singapore 469662",469662,1.3271875,103.9323125
Ground Up Climbing,Rock climbing gym,"60 Tessensohn Road CSC@Tessensohn (Level 2, Singapore 217664",217664,1.3158125,103.8561875
F45 Training Serangoon Garden South,Gym,"11 Lichfield Rd, Singapore 556831",556831,1.3643125,103.8700625
Gold's Gym,Personal trainer,"43 South Bridge Rd, Singapore 058677",58677,1.2874375,103.8485625
Woodlands ActiveSG Gym,Gym,"3 Woodlands Street 13, Singapore 738600",738600,1.4345625,103.7795625
Muay Art Fitness,Gym,"48 Woodleigh Park, Singapore 357844",357844,1.3425625,103.8675625
Tribal Fitness Gym,Gym,"35b Pagoda St, Singapore 059194",59194,1.2830625,103.8448125
F45 Training Boat Quay,Gym,"73/75 South Bridge Rd, Singapore 058705",58705,1.2866875,103.8480625
Rising Personal Training,Gym,"466 River Valley Rd, Singapore 248351",248351,1.2936875,103.8268125
Athletic Inc,Gym,"68 South Bridge Rd, #02-01, Singapore 058698",58698,1.2873125,103.8480625
UFIT CBD Hub - Club Street,Gym,"21 Club St, #01-01, Singapore 069410",69410,1.2824375,103.8466875
Apeiro Personal Training Singapore,Gym,"100 Orchard Rd, #02-01 Concorde Hotel, Singapore 238840",238840,1.3006875,103.8424375
Van Lee Fitness,Gym,"Pagoda Street 30A, Level 2, Singapore 059189",59189,1.2833125,103.8446875
Virgin Active Raffles Place,Gym,"1 Raffles Pl, Tower 2, Level 6, Singapore 048616",48616,1.2844375,103.8509375
Fitness First - Market Street (Raffles Place),Gym,"63 Market Street #02-01 & #03-01 Bank of Singapore Centre, Singapore 048942",48942,1.2844375,103.8505625
Fitness First - One George Street,Gym,"1 George St, #05-01 One George Street, Singapore 049145",49145,1.2856875,103.8474375
Aurora Spin Studio at South Beach Quarter,Fitness center,"36 Beach Rd, #02-01/02-02, Singapore 189766",189766,1.2958125,103.8561875
Hybrid Fitness,Gym,"321 Orchard Rd, Orchard Shopping Centre, #04-01/02/05/06/07, Singapore 238866",238866,1.3014375,103.8379375
Active Zone - Women Only Kickboxing Fitness,Kickboxing school,"47 Beach Road, #03-03 Kheng Chiu Building, Singapore 189683",189683,1.2963125,103.8559375
Banyan Tree Fitness Club,Gym,"10 Bayfront Ave, Singapore 018956",18956,1.2835625,103.8606875
Gold's Gym,Gym,"118a Tg Pagar Rd, Singapore 088531",88531,1.2778125,103.8435625
Fitness First @ 100AM,Gym,"100 Tras St, #04 - 16B, Singapore 079027",79027,1.2750625,103.8436875
TECHNIQ TRAINING,Gym,"43 Carpenter St, #03-01 Greatwood Building, Singapore 059922",59922,1.2878125,103.8480625
Pom Pi Pi Functional Fitness & Personal Training,Gym,"69 Circular Rd, #02-01, Singapore 049423",49423,1.2864375,103.8490625
Energia Fitness Club,Gym,"30 Merchant Road #04-11/12 Riverside Point, Singapore 058282",58282,1.2893125,103.8441875
FaMA - Fitness and Martial Arts,Martial arts school,"30 Prinsep St, #03-01, Singapore 188647",188647,1.2990625,103.8493125
Habit SG,Gym,"33a Hongkong St, Level 2, Singapore 059672",59672,1.2874375,103.8471875
Anytime Fitness Boon Keng,Gym,"294A Lavender St., Singapore 338807",338807,1.3148125,103.8599375
Division Athletics,Gym,"78 Shenton Way, B1-01, Singapore 079120",79120,1.2731875,103.8453125
Fitness First - Capital Tower,Gym,"168 Robinson Rd, #09-01 Capital Tower, Singapore 068912",68912,1.2780625,103.8474375
Ritual Gym Tiong Bahru,Gym,"66 Eng Watt St, #01-06, Singapore 160066",160066,1.2835625,103.8328125
Virgin Active Duo Galleria,Gym,"7 Fraser St, #01-09 Duo Galleria, Singapore 189356",189356,1.3000625,103.8585625
1nfinity Gym,Gym,"125 Bukit Merah Lane 1, #01-172 beside Monica Florist, Singapore 150125",150125,1.2859375,103.8030625
Ministry of Fitness,Gym,"06-01 Telok Ayer Street Annex B (Above Amoy Food Centre, Mnd Building, Singapore 069111",69111,1.2788125,103.8466875
Flex Fitness,Personal trainer,"292 River Valley Rd, Singapore 238333",238333,1.2953125,103.8416875
Pulse Lab,Gym,"1 Aliwal St, Level 3 unit 1B, Singapore 199894",199894,1.3018125,103.8613125
Anytime Fitness Bedok South Bedok CC,Gym,"850 New Upper Changi Rd, #02-22, Singapore 467352",467352,1.3243125,103.9360625
Genesis Gym,Personal trainer,"10, Blk C Winstedt Rd, #01-15, Singapore 227977",227977,1.3101875,103.8416875
Anytime Fitness Balestier,Gym,"288 Balestier Road Balestier, Central, Singapore 329731",329731,1.3228125,103.8528125
One Wellness Fitness Club,Fitness center,"247A / 247B Victoria Street, Bugis, Singapore 188033",188033,1.3004375,103.8553125
V FIT Singapore,Gym,"14 Mohamed Sultan Rd, Singapore 238963",238963,1.2936875,103.8416875
Ascend Fitness,Gym,"Basement 1, 1 Orchard Rd, YMCA, Singapore 238824",238824,1.2975625,103.8480625
Rasa Fitness & Dance Academy,Gym,"3 Coleman Street Peninsula Shopping Centre, #02-19, Singapore 179804",179804,1.2920625,103.8500625
Amore Fitness & Define,Gym,"205 Hougang Street 21, #03-31/32/33 Heartland Mall, Singapore 530205",530205,1.3594375,103.8849375
True Fitness,Fitness center,"9 Raffles Blvd, Singapore 039596",39596,1.2928125,103.8598125
Senior Gym | Fitness Classes by NTUC Health @ ActiveSG Gym - Serangoon Central,Gym,"264 Serangoon Central, #01-207, Singapore 550264",550264,1.3524375,103.8720625
Evolve MMA (Clarke Quay Central),Martial arts school,"6, #04-18 Eu Tong Sen St, Clarke Quay Central, Singapore 059817",59817,1.2893125,103.8470625
Foxgloves Fight Gym,Boxing gym,"9 Purvis St, #05-02, Singapore 188588",188588,1.2966875,103.8551875
F45 Training Tanjong Pagar,Gym,"11 Keppel Rd, #01-02/03 ABI Plaza, Singapore 089057",89057,1.2731875,103.8428125
Virgin Active Tanjong Pagar,Gym,"7 Wallich St, #06-01, Singapore 078881",78881,1.2768125,103.8458125
The Gym Pod @ 163 Bukit Merah Central,Gym,"Blk 163 Bukit Merah Central, #03-3601, Singapore 150163",150163,1.2836875,103.8169375
FITLUC,Personal trainer,"21A Keong Saik Rd., Singapore 089128",89128,1.2798125,103.8413125
REVOLT @ The Sail - Exclusive Personal Training Gym,Gym,"2 Marina Blvd, #02-01 The Sail, Singapore 018987",18987,1.2813125,103.8528125
STILL Boxing,Boxing gym,"6A Shenton Way, #B1-06 OUE Downtown Gallery, Singapore 068809",68809,1.2783125,103.8493125
Anytime Fitness Tampines Central,Gym,"866A Tampines Street 83, #03-10 Central Community Complex, Singapore 521866",521866,1.3553125,103.9344375
Green Curve SG EcoGym,Gym,"104 Amoy St, #03-01 MailBox 104 B, Singapore 069924",69924,1.2816875,103.8473125
Gold's Gym,Personal trainer,"222 River Valley Rd, Singapore 238280",238280,1.2938125,103.8425625
F45 River Valley,Gym,"372 River Valley Rd, Singapore 248280",248280,1.2959375,103.8305625
BBOUNCE,Gym,"176 Orchard Rd, #06 - 09, Singapore 238843",238843,1.3016875,103.8395625
Gold's Gym Personal Training - Bugis,Personal trainer,"21 Bali Ln, Singapore 189857",189857,1.3009375,103.8586875
Elevate Performance Gym,Gym,"3 Neil Rd, Singapore 088805",88805,1.2801875,103.8436875
ActiveSG Hockey Village Gym @ Boon Lay,Gym,"88 Boon Lay Pl, Singapore 649883",649883,1.3476875,103.7115625
Delta ActiveSG Gym,Gym,"900 Tiong Bahru Rd, Singapore 158790",158790,1.2904375,103.8205625
NTU Sports and Recreation Centre (SRC) Hall D,Gym,"639798, 50 Nanyang Ave, Singapore 639798",639798,1.3491875,103.6876875
Woodlands Sports Hall,Gym,"2 Woodlands Street 12, Singapore 738620",738620,1.4343125,103.7796875
Nee Soon Sports Centre,Gym,"32 Yishun Central 1, Singapore 760932",760932,1.4275625,103.8386875
Spartans Boxing Club Dhoby Ghaut,Boxing gym,"1 Sophia Rd, #03-40 Peace Centre, Singapore 228149",228149,1.3013125,103.8494375
Tampines Gymnasium,Gym,"495 Tampines Ave 5, Singapore 529649",529649,1.3535625,103.9400625
MRC Boxing Barn,Boxing gym,"55 Boat Quay, Singapore 049844",49844,1.2873125,103.8493125
Tampines ActiveSG Gym,Gym,"1 Tampines Walk, #07-31, Singapore 528523",528523,1.3536875,103.9408125
Spartans Boxing Club Buona Vista,Boxing gym,"30 South Buona Vista Rd, Singapore 118160",118160,1.2805625,103.7869375
Onyx MMA East,Muay Thai boxing gym,"1A Tampines Street 92, #02-69 SAFRA, Singapore 528882",528882,1.3446875,103.9416875
Fitness First - Changi (UE Biz Hub),Gym,"6 Changi Business Park Avenue 1, North Tower, #02-21 UE BizHub East, Singapore 486017",486017,1.3350625,103.9641875
Legends Fight Sport Tampines | Top Boxing Gym Singapore,Boxing gym,"6 Tampines Street 92, #01-16 Yoha Tampines, Singapore 528893",528893,1.3433125,103.9418125
Alpha Gymnastics Pte Ltd,Gymnastics center,"750 Chai Chee Rd, #01-13B ESR BizPark @ Chai Chee, Singapore 469000",469000,1.3235625,103.9224375
Onyx MMA North,Muay Thai boxing gym,"60 Yishun Ave 4, Level 2 Beside EnergyOne Gym, Singapore 769027",769027,1.4241875,103.8409375
Amore Fitness & Define,Gym,"06-11 Woodlands Civic Centre, 900 S Woodlands Dr, Singapore 730900",730900,1.4351875,103.7871875
SlingShot Lab,Gym,"11c Lor Telok, Singapore 049024",49024,1.2866875,103.8485625
The Ring Boxing Community (Orchard),Boxing gym,"1 Claymore Dr, #01-01A, Singapore 229594",229594,1.3078125,103.8293125
Bianka Panova Academy,Gymnastics center,"2 Bukit Merah Central, #02-03, Singapore 159835",159835,1.2848125,103.8138125
"True Fitness (Djitsun Mall, Ang Mo Kio)",Gym,"5 Ang Mo Kio Central 2, #04-01 Djitsun Mall, Singapore 569663",569663,1.3728125,103.8478125
International Yoga Centre Singapore,Yoga studio,"57 Oxley Rd, Singapore 238642",238642,1.2965625,103.8408125
Yoga Shala Singapore,Yoga studio,"Punggol E, Singapore 821657",821657,1.3995625,103.9216875
Yoga Inc East Coast Park,Yoga studio,"920 ECP, #01-11, Singapore 449875",449875,1.2996875,103.9069375
On Good Ground,Yoga studio,"458B Joo Chiat Rd, Singapore 427671",427671,1.3061875,103.9045625
Platinum Yoga Marine Parade (Parkway Centre),Yoga studio,"1 Marine Parade Central 11-05 Parkway Center, Singapore 449408",449408,1.3018125,103.9060625
Mudita Yoga SG,Yoga studio,"761A North Bridge Rd, Singapore 198729",198729,1.3034375,103.8594375
Iyengar Yoga Center of Central Singapore,Yoga studio,"25A Bukit Pasoh Rd, Singapore 089839",89839,1.2791875,103.8405625
Grasio Sports Silat School - Pioneer Zone '5' RC,Martial arts school,"667D Jurong West Street 65, Singapore 644667",644667,1.3416875,103.7020625
Neue Fit,Martial arts school,"1 Stadium Pl, #02-07, Singapore 397628",397628,1.3028125,103.8733125
Zen Academy,Martial arts school,"61 Sims Dr, #01-131, Singapore 380061",380061,1.3166875,103.8786875
Grasio Sports Silat School - Bishan North CC,Martial arts school,"233 Bishan Street 22, Singapore 570233",570233,1.3586875,103.8453125
WKOSS Central Dojo (Honbu Dojo),Karate club,"576c Serangoon Rd, Singapore 218190",218190,1.3146875,103.8579375
The Moving Body Group,Pilates studio,"217 East Coast Road 05-02 Tides Building, Singapore 428915",428915,1.3075625,103.9069375
Swing Studio,Pilates studio,"116 Changi Rd, Singapore 419718",419718,1.3165625,103.9011875
East Side Pilates,Pilates studio,"30 E Coast Rd, #03-19, Singapore 428751",428751,1.3038125,103.9029375
Body n'Sync Singapore,Pilates studio,"14 robinson rd far east finance bldg #02-03, Singapore 048545",48545,1.2821875,103.8508125
MY FITNESS PILATES,Pilates studio,"Telok Kurau Rd, Singapore 423881",423881,1.3120625,103.9105625
The Core Reformery,Pilates studio,"420 North Bridge Road #05-20 North Bridge Centre, Singapore 188727",188727,1.2971875,103.8549375
Singapore Taekwon-do Academy @ Mandarin Gardens Marine Parade East Coast,Taekwondo school,"Mandarin Gardens Clubhouse, Marine Parade Siglap, E Coast Rd, Singapore 448908",448908,1.3078125,103.9250625
Jumping Singapore,Fitness center,"Far East Plaza, 14 Scotts Rd, #01-100, Singapore 228213",228213,1.3069375,103.8334375
Singapore Taekwon-do Academy @ Cherie Hearts,Taekwondo school,"Bedok Central, New Upper Changi Rd, Singapore 460219",460219,1.3246875,103.9330625
Singapore Taekwon-do Academy @ Aquarius Bedok Tampines Simei East Coast,Taekwondo school,"Aquarius Bedok Clubhouse, Bedok Reservoir View Tampines, Singapore 478928",478928,1.3378125,103.9356875
Singapore Taekwon-do Academy @ Yishun Northpoint #03-38 Little Arts Academy,Taekwondo school,"Northpoint City Mall, Level 03-38 North Wing, at, Little Arts Academy Studio, Singapore 769098",769098,1.4294375,103.8360625
Grandmaster B S Huan Taekwon-do International @ Yishun Northpoint City Singapore Taekwondo Academy,Taekwondo school,"Northpoint City Mall #03-38, North Wing, Yishun Central, Little Arts Academy, Singapore 769099",769099,1.4291875,103.8355625
SwoleFit Garage,Fitness center,"Mega @ Woodlands, Singapore 737856",737856,1.4385625,103.8068125
Revolution Bugis,Fitness center,"520 North Bridge Rd, #03–01, Singapore 188742",188742,1.2986875,103.8560625
Elite Coach Sports Academy | Farrer Park,Fitness center,"291 serangoon road 03-00 City Square MRT Exit, A, #50m, Singapore 218107",218107,1.3113125,103.8548125
