"","OBJECTID","LANDYADDRE","LANDXADDRE","ADDRESSPOS","PHOTOURL","NAME","HYPERLINK","DESCRIPTIO","ADDRESSUNI","ADDRESSSTR","ADDRESSFLO","ADDRESSBUI","INC_CRC","FMEL_UPD_D","ADDRESSBLO","X_ADDR","Y_ADDR"
"23",23,44121.5906,28559.3432,768454,NA,"Orchid Park Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"10 Yishun Street 81",NA,NA,"D00D850492925FBB",2014-04-17,NA,28559.3432,44121.5906
"24",24,36824.8881,40346.8266,529427,NA,"Tampines Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"252 Tampines St 12",NA,NA,"1E856F8B84A6907E",2014-04-17,NA,40346.8266,36824.8881
"25",25,33117.0767,40668.0714,465561,NA,"Temasek Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"600 Upper East Coast Road",NA,NA,"CB8AF11A29839908",2014-04-17,NA,40668.0713,33117.0767
"26",26,42742.7761,18393.1845,688268,NA,"Unity Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field, Indoor Sports Hall 
Sports 
Free Play, Badminton",NA,"21 Choa Chu Kang Crescent",NA,NA,"5C0FC47A1DE4500F",2014-04-17,NA,18393.1845,42742.7761
"27",27,42391.0494,18286.6397,689143,NA,"Unity Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"20 Choa Chu Kang St 62",NA,NA,"3EE5FB30C7972467",2014-04-17,NA,18286.6397,42391.0493
"28",28,41084.0398,19854.9259,677737,NA,"West Spring Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"61 Senja Road",NA,NA,"B717DD19E1823593",2014-04-17,NA,19854.9259,41084.0397
"29",29,37297.778,13351.7378,648350,NA,"Westwood Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"11 Jurong West Street 25",NA,NA,"25AF496D1330F134",2014-04-17,NA,13351.7378,37297.778
"30",30,46085.841,23222.6545,738079,NA,"Woodgrove Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"2 Woodlands Drive 14",NA,NA,"A6B7F3AFAD14A4B7",2014-04-17,NA,23222.6545,46085.841
"31",31,45532.362,23882.223,738990,NA,"Woodgrove Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"3 Woodlands Ave 6",NA,NA,"CCB609234EE1D89B",2014-04-17,NA,23882.223,45532.3619
"32",32,46493.6744,23376.4658,738853,NA,"Woodlands Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"10 Woodlands Drive 50",NA,NA,"6F6CB38C68CB73CE",2014-04-17,NA,23376.4658,46493.6743
"33",33,46423.6973,24350.0767,738239,NA,"Woodlands Ring Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"10 Woodlands Ring Road",NA,NA,"629D4657CC20A948",2014-04-17,NA,24350.0767,46423.6973
"34",34,37776.2619,34359.7423,538882,NA,"Xinghua Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"45 Hougang Ave 1",NA,NA,"30E0C7EE4B5C197C",2014-04-17,NA,34359.7423,37776.2619
"35",35,36093.2705,11796.8866,649036,NA,"Xingnan Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"5 Jurong West Street 91",NA,NA,"8E14C95E828EA33F",2014-04-17,NA,11796.8865,36093.2705
"36",36,39969.6374,28948.0449,569868,NA,"Yio Chu Kang Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"3063 Ang Mo Kio Avenue 5",NA,NA,"D3CC9A52252425CC",2014-04-17,NA,28948.0449,39969.6373
"37",37,45541.099,27498.7973,768516,NA,"Yishun Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"4 Yishun Street 71",NA,NA,"1516C42DD1332D03",2014-04-17,NA,27498.7972,45541.0989
"38",38,46004.359,28531.4577,768610,NA,"Yishun Town Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"6 Yishun Street 21",NA,NA,"9F57EF64C30680E3",2014-04-17,NA,28531.4577,46004.3589
"39",39,36118.213,17713.3918,609558,NA,"Yuhua Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"158 Jurong East Street 24",NA,NA,"D5D4C0F17A63000D",2014-04-17,NA,17713.3918,36118.2129
"40",40,36061.8608,19871.8399,658712,NA,"Yusof Ishak Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"11 Bukit Batok Street 25",NA,NA,"770EB22EF9F632D3",2014-04-17,NA,19871.8399,36061.8607
"41",41,37668.4145,34358.9187,538884,NA,"Yuying Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"47 Hougang Ave 1",NA,NA,"E56D1D2D307C22B9",2014-04-17,NA,34358.9187,37668.4145
"42",42,29634.6893,27205.1092,169485,NA,"Zhang De Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"51 Jalan Membina",NA,NA,"A6AEEED66CD7AC8F",2014-04-17,NA,27205.1091,29634.6893
"43",43,38029.0482,32056.3104,556095,NA,"Zhonghua Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"12 Serangoon Ave 4",NA,NA,"B80E9F0D8825B474",2014-04-17,NA,32056.3103,38029.0482
"44",44,37509.2021,29973.1649,579783,NA,"Bishan Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
NA 
Opening Hours (Futsal Field) 
NA 
Opening Hours (Stadium) 
7.00am - 10.00pm (Free admission for jogging from 4.30 am - 8.30 pm except when stadium is exclusively booked.) 
Opening Hours (Sports Hall) 
7.00am -",NA,"5 Bishan Street  14 S(579783)",NA,NA,"257508784CCD1221",2014-04-17,NA,29973.1649,37509.202
"45",45,32299.2278,35145.4785,438796,NA,"Tanjong Katong Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"130 Haig Road",NA,NA,"B42EE6B0615C712F",2014-04-17,NA,35145.4785,32299.2278
"46",46,40563.9595,19863.4754,677742,NA,"West View Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"31 Senja Road",NA,NA,"23449E604A7A445C",2014-04-17,NA,19863.4753,40563.9594
"47",47,38659.2707,30112.8951,569277,NA,"Deyi Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"1 Ang Mo Kio Street 42",NA,NA,"483630E55FBAC4C9",2014-04-17,NA,30112.8951,38659.2707
"48",48,45839.9461,21749.0554,739062,NA,"Fuchun Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"21 Woodlands Avenue 1",NA,NA,"A72C0E87B07CDA25",2014-04-17,NA,21749.0554,45839.9461
"49",49,35398.4662,17243.9704,609647,NA,"Fuhua Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"65 Jurong East Street 13",NA,NA,"AD4250FEAC77A075",2014-04-17,NA,17243.9704,35398.4661
"50",50,36556.9112,16141.1655,649410,NA,"Fuhua Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"5 Jurong West Street 41",NA,NA,"94733DB881B4329C",2014-04-17,NA,16141.1655,36556.9112
"51",51,37714.5769,40859.7631,529176,NA,"Gongshang Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"1 Tampines Street 42",NA,NA,"E0F1BB26E2721FC3",2014-04-17,NA,40859.7631,37714.5768
"52",52,42032.7752,36819.1792,828848,NA,"Greendale Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"50 Edgefield Plains",NA,NA,"D1481619760F7E34",2014-04-17,NA,36819.1792,42032.7752
"53",53,42094.4222,36722.8223,828866,NA,"Greendale Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"51 Edgedale Plains",NA,NA,"E71E5C37DB87BD79",2014-04-17,NA,36722.8223,42094.4221
"54",54,39030.7917,42399.9751,518969,NA,"Greenview Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"15 Pasir Ris Street 21",NA,NA,"09DCF9A934B932D2",2014-04-17,NA,42399.9751,39030.7916
"55",55,32440.053,30978.9945,207542,NA,"Jalan Besar Sports and Recreation Centre","http://www.ssc.gov.sg/publish/Corporate/en/participation/hotspot/sports_facility.html?","Opening Hours (Stadium) 
7.00am to 10.00pm (Not open to public for jogging)Opening Hours (Pool)8.00am - 9.30pm 
Facilities:Jalan Besar Swimming Complex, Jalan Besar Stadium",NA,"100 Tyrwhitt Road NA S(207542)",NA,NA,"0A247A003D46AA31",2014-04-17,NA,30978.9945,32440.0529
"56",56,33488.1695,18255.0832,608784,NA,"Commonwealth Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"698 West Coast Road",NA,NA,"30EB70930C408AA4",2014-04-17,NA,18255.0832,33488.1695
"57",57,42012.2662,35406.5264,545083,NA,"Compassvale Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"51 Compassvale Crescent",NA,NA,"337D2B97B7EC7CB8",2014-04-17,NA,35406.5263,42012.2662
"58",58,38938.047,41067.8213,518902,NA,"Coral Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"20 Pasir Ris Street 51",NA,NA,"DDD7D27ABB846B98",2014-04-17,NA,41067.8213,38938.047
"59",59,37066.2772,14006.5235,648347,NA,"Corporation Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"31 Jurong West Street 24",NA,NA,"6A374B87E0B18D90",2014-04-17,NA,14006.5235,37066.2772
"60",60,30634.2204,26244.4775,247961,NA,"Crescent Girls' School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"357 Tanglin Road",NA,NA,"6BC657E88026524F",2014-04-17,NA,26244.4775,30634.2204
"61",61,35309.6159,37778.2856,479226,NA,"Damai Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"52 Bedok Reservoir Crescent",NA,NA,"FE61B26984B500E1",2014-04-17,NA,37778.2856,35309.6159
"62",62,34055.3324,31039.9598,327919,NA,"Bendemeer Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"1 St. Wilfred Rd",NA,NA,"0302509DA2A532FF",2014-04-17,NA,31039.9598,34055.3323
"63",63,38597.3118,28012.0373,575565,NA,"Bishan Park Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"2 Sin Min Walk",NA,NA,"9E8FD8F7DAA2E18F",2014-04-17,NA,28012.0373,38597.3117
